-20 	5.18941e-05
-10 	0.00716139
0 	0.0346653
10 	0.00243902
20 	0.0026985
30 	0.00166061
40 	0.00155682
50 	0.00228334
60 	0.0035288
70 	0.00508563
80 	0.00550078
90 	0.00498184
100 	0.00363259
110 	0.00306175
120 	0.00275039
130 	0.00129735
140 	0.000934094
150 	0.00186819
160 	0.00129735
170 	0.00129735
180 	0.000830306
190 	0.00129735
200 	0.000830306
210 	0.000830306
220 	0.00103788
230 	0.000726518
240 	0.000570835
250 	0.000778412
260 	0.000726518
270 	0.000934094
280 	0.00129735
290 	0.000830306
300 	0.000934094
310 	0.000311365
320 	0.000311365
330 	5.18941e-05
